iter	Passed	Remaining
202	266	1048
203	267	1043
204	268	1039
205	268	1035
206	269	1031
207	269	1027
208	270	1023
209	271	1019
210	271	1015
211	272	1012
212	272	1008
213	273	1004
214	273	1000
215	274	996
216	274	991
217	275	987
218	275	983
219	276	979
220	276	976
221	277	972
222	278	968
223	278	965
224	279	961
225	279	958
226	280	954
227	280	950
228	281	947
229	281	943
230	282	939
231	283	936
232	283	933
233	284	930
234	284	926
235	285	923
236	285	919
237	286	916
238	286	912
239	287	909
240	287	906
241	288	902
242	288	899
243	289	896
244	289	892
245	290	889
246	290	886
247	291	883
248	291	879
249	292	877
250	292	874
251	293	871
252	294	868
253	294	865
254	295	862
255	295	859
256	296	856
257	296	853
258	297	850
259	297	847
260	298	844
261	298	841
262	299	838
263	299	835
264	300	833
265	300	830
266	301	827
267	301	824
268	302	821
269	302	818
270	303	816
271	303	813
272	304	810
273	304	808
274	305	805
275	305	802
276	306	799
277	306	797
278	307	794
279	308	792
280	308	789
281	309	787
282	310	785
283	310	783
284	311	780
285	311	778
286	312	775
287	312	773
288	313	771
289	314	769
290	314	766
291	315	764
292	315	761
293	316	759
294	316	757
295	317	754
296	317	752
297	318	749
298	318	747
299	319	745
300	319	742
301	320	740
302	320	738
303	321	735
304	321	733
305	322	731
306	323	729
307	323	727
308	324	725
309	325	723
310	325	721
311	326	719
312	326	717
313	327	715
314	328	713
315	328	711
316	329	709
317	329	707
318	330	705
319	330	702
320	331	700
321	331	698
322	332	696
323	332	694
324	333	692
325	334	690
326	334	688
327	335	686
328	335	684
329	336	682
330	336	680
331	337	679
332	338	677
333	339	676
334	339	674
335	340	672
336	340	670
337	341	668
338	341	666
339	342	664
340	342	662
341	343	660
342	343	658
343	344	656
344	344	654
345	345	652
346	345	650
347	346	648
348	346	646
349	347	644
350	347	642
351	348	641
352	348	639
353	349	637
354	349	635
355	350	633
356	350	631
357	351	630
358	351	628
359	352	626
360	353	625
361	353	623
362	354	621
363	354	619
364	355	618
365	355	616
366	356	614
367	356	612
368	357	611
369	357	609
370	358	607
371	358	605
372	359	604
373	359	602
374	360	600
375	360	598
376	361	597
377	361	595
378	362	593
379	362	592
380	363	590
381	363	588
382	364	587
383	365	586
384	365	584
385	366	582
386	367	581
387	367	579
388	368	578
389	369	577
390	369	575
391	370	574
392	370	572
393	371	570
394	371	569
395	372	567
396	372	566
397	373	564
398	373	563
399	374	561
400	374	560
401	375	558
402	375	556
403	376	555
404	376	553
405	377	552
406	377	550
407	378	549
408	378	547
409	379	546
410	380	544
411	380	543
412	381	541
413	381	540
414	382	538
415	382	537
416	383	536
417	383	534
418	384	533
419	385	531
420	385	530
421	386	528
422	386	527
423	387	525
424	387	524
425	388	522
426	388	521
427	389	520
428	389	518
429	390	517
430	390	515
431	391	514
432	391	512
433	392	511
434	392	510
435	393	509
436	394	507
437	395	507
438	395	505
439	396	504
440	397	503
441	397	502
442	398	501
443	399	500
444	400	498
445	400	497
446	401	496
447	401	495
448	402	493
449	403	492
450	403	491
451	404	490
452	405	489
453	405	487
454	406	486
455	407	485
456	407	484
457	408	482
458	408	481
459	409	480
460	409	479
461	410	477
462	410	476
463	411	475
464	411	474
465	412	472
466	413	471
467	413	470
468	414	469
469	414	467
470	415	466
471	415	465
472	416	464
473	417	462
474	417	461
475	418	460
476	418	459
477	419	457
478	419	456
479	420	455
480	420	454
481	421	452
482	421	451
483	422	450
484	422	449
485	423	447
486	423	446
487	424	445
488	425	444
489	425	442
490	426	441
491	426	440
492	427	439
493	427	437
494	428	436
